Area code,Area name,Time period,Value (score out of 10),Confidence interval lower,Confidence interval upper
E07000127,West Lancashire,2022-23,7.5,7.04,7.96
E07000128,Wyre,2022-23,7.49,6.96,8.02
E07000129,Blaby,2022-23,7.43,6.96,7.9
E07000130,Charnwood,2022-23,6.97,6.63,7.31
E07000131,Harborough,2022-23,7.43,7.01,7.84
E07000132,Hinckley and Bosworth,2022-23,7.42,7.04,7.8
E07000133,Melton,2022-23,7.65,7.05,8.26
E07000134,North West Leicestershire,2022-23,6.98,6.4,7.56
E07000135,Oadby and Wigston,2022-23,7.54,7.02,8.06
E07000137,East Lindsey,2022-23,7.66,7.21,8.11
E07000138,Lincoln,2022-23,6.57,5.79,7.36
E07000139,North Kesteven,2022-23,8.09,7.74,8.43
E07000140,South Holland,2022-23,7.62,7.19,8.06
E07000141,South Kesteven,2022-23,7.6,7.13,8.08
E07000142,West Lindsey,2022-23,7.51,6.98,8.04
E07000143,Breckland,2022-23,7.19,6.73,7.66
E07000144,Broadland,2022-23,7.71,7.35,8.06
E07000145,Great Yarmouth,2022-23,7.71,7,8.43
E07000146,King's Lynn and West Norfolk,2022-23,7.45,6.98,7.92
E07000147,North Norfolk,2022-23,7.21,6.47,7.95
E07000148,Norwich,2022-23,7.07,6.63,7.52
E07000149,South Norfolk,2022-23,7.65,7.35,7.96
E07000163,Craven,2022-23,7.22,6.11,8.33
E07000164,Hambleton,2022-23,7.03,5.3,8.75
E07000165,Harrogate,2022-23,7.59,7.13,8.05
E07000167,Ryedale,2022-23,7.89,7.38,8.4
E07000168,Scarborough,2022-23,7.7,7.35,8.06
E07000169,Selby,2022-23,7.62,7.15,8.09
E07000170,Ashfield,2022-23,6.82,5.67,7.97
E07000171,Bassetlaw,2022-23,7.38,6.86,7.9
E07000172,Broxtowe,2022-23,7.34,6.76,7.93
E07000173,Gedling,2022-23,6.88,6.11,7.64
E07000174,Mansfield,2022-23,7.4,6.8,8
E07000175,Newark and Sherwood,2022-23,7.55,7.11,7.99
E07000176,Rushcliffe,2022-23,7.39,6.89,7.9
